scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
local_first_heuristic,7,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,1,8.0,88.0,38.0,12.0,8.0,146.0,0
local_first_heuristic,8,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,11,110.0,990.0,44.0,33.0,33.0,1100.0,1
local_first_heuristic,8,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5,60.0,450.0,20.0,15.0,15.0,500.0,1
local_first_heuristic,8,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,2,18.0,140.0,8.0,6.0,6.0,160.0,1
local_first_heuristic,8,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,12.0,9.0,45.0,396.0,1
local_first_heuristic,8,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,4.0,3.0,12.0,124.0,1
local_first_heuristic,8,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,4.0,3.0,12.0,129.0,1
local_first_heuristic,8,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,10,100.0,700.0,40.0,30.0,30.0,800.0,1
local_first_heuristic,8,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM2,2,24.0,140.0,8.0,6.0,6.0,160.0,1
local_first_heuristic,8,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4,40.0,344.0,16.0,12.0,32.0,404.0,1
local_first_heuristic,8,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,1,12.0,86.0,4.0,3.0,8.0,101.0,1
local_first_heuristic,8,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,4.0,3.0,8.0,83.0,1
local_first_heuristic,8,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3,24.0,264.0,12.0,9.0,24.0,309.0,1
